checksum,dataset_version,manifest_digest,metric_definition,model,plotted_values,run_id,sample_count,source_checksums,source_kind,source_run_ids,split,suite_id,uncertainty_method,unit,value,language,metric
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,laya,"{""value"":0.16666666666666666}",laya-assisted-20260925-5,,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.16666666666666666,ar,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,ar,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,qwen-pcd,"{""value"":0.8333333333333334}",qwen-assisted-20260925,,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.8333333333333334,ar,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,laya,"{""value"":0.625}",laya-assisted-20260925-5,,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.625,de,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,de,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,qwen-pcd,"{""value"":0.6666666666666666}",qwen-assisted-20260925,,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.6666666666666666,de,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,laya,"{""value"":0.7083333333333334}",laya-assisted-20260925-5,,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.7083333333333334,es,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,es,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,qwen-pcd,"{""value"":0.6666666666666666}",qwen-assisted-20260925,,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.6666666666666666,es,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,laya,"{""value"":0.75}",laya-assisted-20260925-5,,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.75,fr,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,fr,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,qwen-pcd,"{""value"":0.625}",qwen-assisted-20260925,,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.625,fr,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,laya,"{""value"":0.0}",laya-assisted-20260925-5,,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0,hi,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,hi,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Classification accuracy for the stated language in the evaluation split,qwen-pcd,"{""value"":0.625}",qwen-assisted-20260925,,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.625,hi,accuracy
