checksum,dataset_version,manifest_digest,metric_definition,model,plotted_values,run_id,sample_count,source_checksums,source_kind,source_run_ids,split,suite_id,uncertainty_method,unit,value,metric,primitive
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using calibration-fitted evaluation probabilities,laya,"{""value"":0.0027817282546448367}",laya-assisted-20260925-5,736,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0027817282546448367,ece_fitted,choice
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using raw evaluation probabilities,laya,"{""value"":0.0021294756618364784}",laya-assisted-20260925-5,736,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0021294756618364784,ece_raw,choice
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using calibration-fitted evaluation probabilities,jev,"{""value"":0.0009160711013483203}",jev-assisted-20260925,736,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0009160711013483203,ece_fitted,choice
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using raw evaluation probabilities,jev,"{""value"":0.0009158587783783721}",jev-assisted-20260925,736,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0009158587783783721,ece_raw,choice
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using calibration-fitted evaluation probabilities,qwen-pcd,"{""value"":0.0009155183712336363}",qwen-assisted-20260925,736,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0009155183712336363,ece_fitted,choice
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for choice using raw evaluation probabilities,qwen-pcd,"{""value"":0.002332767192563974}",qwen-assisted-20260925,736,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.002332767192563974,ece_raw,choice
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for noul using calibration-fitted evaluation probabilities,laya,"{""value"":0.0021577786089748757}",laya-assisted-20260925-5,384,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.0021577786089748757,ece_fitted,noul
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for noul using raw evaluation probabilities,laya,"{""value"":0.004774482314627559}",laya-assisted-20260925-5,384,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.004774482314627559,ece_raw,noul
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for noul using calibration-fitted evaluation probabilities,jev,"{""value"":0.005830057395979381}",jev-assisted-20260925,384,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.005830057395979381,ece_fitted,noul
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Expected calibration error for noul using raw evaluation probabilities,jev,"{""value"":0.004668501442628624}",jev-assisted-20260925,384,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,comparison,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.004668501442628624,ece_raw,noul
