checksum,dataset_version,manifest_digest,metric_definition,model,plotted_values,run_id,sample_count,source_checksums,source_kind,source_run_ids,split,suite_id,uncertainty_method,unit,value,metric
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.85}",laya-assisted-20260925-5,160,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,agnews,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.85,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.9875}",jev-assisted-20260925,160,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,agnews,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.9875,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.9125}",qwen-assisted-20260925,160,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,agnews,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.9125,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.8125}",laya-assisted-20260925-5,96,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,banking77_12,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.8125,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.9479166666666666}",jev-assisted-20260925,96,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,banking77_12,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.9479166666666666,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.5833333333333334}",qwen-assisted-20260925,96,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,banking77_12,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.5833333333333334,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.65625}",laya-assisted-20260925-5,192,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,emotion,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.65625,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.84375}",jev-assisted-20260925,192,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,emotion,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.84375,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.4114583333333333}",qwen-assisted-20260925,192,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,emotion,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.4114583333333333,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.7604166666666666}",laya-assisted-20260925-5,96,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,guardrails,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.7604166666666666,accuracy
